OldSampleID,FishCode,ID,FishID,SampleID,Date,Lat,Long,Section,Edge,VR,DrillSize,FL_cm,CalcTL,Sex,Lifestage,FinalAge,FinalMat,Weight,d15N,relN,Area.All,d13C,relC,Area.All2,Area.All3,d34S_uncorr,d34S,relS,ug.N,ug.C,ug.S,CNratio
PM11020526-S6,PM11020526,15,15F,15F-6,14/09/2011,1.13333333,-24.61666667,6,Y,11.25,1.5,230,287.5,F,Subadult,16,3,0.048,11.83,-1.502,9.423,-14.026,-0.139,16.873,0.802,13.889,15.7873879,0.2001048,7.969498563,24.61433447,0.364437442,3.603328782
PM11032886-S5,PM11032886,05,05F,05F-5,12/11/2011,12.875,-33.925,5,N,9.5,1,237,296.25,F,Subadult,22,4,0.0443,10.767,0.442,8.624,-13.706,-0.633,15.489,0.619,13.637,15.4872307,-0.4204583,7.306192295,22.47793058,0.315481122,3.589318661
PM11010051-S6,PM11010051,14,14M,14M-6,17/01/2011,5.55833333,-24.11666667,6,Y,11.25,1.5,210,262.5,M,Subadult,14,3,0.0463,10.218,-0.941,8.838,-13.856,-0.524,15.615,0.78,14.312,16.2912232,0.8617828,7.502395401,22.96298241,0.358018207,3.570878994
PM11023324-S6,PM11023324,18,18M,18M-6,07/10/2011,1.74166667,-23.80833333,6,Y,11.25,1.5,231,288.75,M,Subadult,17,3,0.0476,9.704,-0.735,9.136,-13.36,0.016,16.263,0.793,14.62,16.658082,0.5166732,7.74033855,23.81359937,0.361811391,3.589317498
PM11030568-S6,PM11030568,19,19M,19M-6,12/11/2011,12.875,-33.925,6,Y,11.25,1.5,209,261.25,M,Subadult,13,3,0.0465,10.015,-1.083,9.205,-14.032,-1.131,15.99,0.79,14.042,15.9696262,0.1203011,7.795432769,23.4552376,0.360936041,3.510317473
PM12033155-S6,PM12033155,24,24F,24F-6,22/10/2012,21.71666667,-23.24166667,6,Y,11.25,1.5,223,278.75,F,Subadult,15,5,0.0491,10.604,-1.833,9.891,-13.171,0.058,16.903,0.719,13.9,15.80049,-0.0232898,8.343181092,24.65371489,0.340219421,3.44744613
AL09022380-S6,AL09022380,07,07F,07F-6,03/01/2010,-24.14166667,-24.10833333,6,Y,11.25,1.5,235,293.75,F,Adult,16,6,0.0477,10.276,-1.533,7.991,-14.201,-0.705,14.075,0.674,13.389,15.1596171,-0.9374435,7.189367646,22.37548476,0.32754248,3.631019237
PM10020161-S6,PM10020161,09,09F,09F-6,11/02/2010,15.58333333,-23.025,6,Y,11.25,1.5,222,277.5,F,Adult,15,2,0.0494,9.63,-1.349,7.621,-14.419,-0.424,14.092,0.645,13.494,15.2856084,-1.660061,6.806177043,20.7549006,0.307880876,3.557658072
PM10021121-S6,PM10021121,11,11M,11M-6,11/02/2010,15.58333333,-23.025,6,Y,11.25,1.5,210,262.5,M,Adult,14,3,0.0575,10.371,-0.611,10.517,-13.369,0.083,18.489,0.918,14.262,16.2061332,0.5981014,9.153777562,26.86778813,0.398317156,3.424351597
PM10021196-S6,PM10021196,12,12F,12F-6,11/02/2010,15.58333333,-23.025,6,Y,11.25,1.5,185,231.25,F,Adult,13,1,0.0517,10.602,-1.041,9.756,-13.477,-0.072,16.93,0.805,14.49,16.479414,0.8984319,8.536883917,24.70040317,0.360883824,3.375603711
