OldSampleID,FishCode,ID,FishID,SampleID,Date,Lat,Long,Section,Edge,VR,DrillSize,FL_cm,CalcTL,Sex,Lifestage,FinalAge,FinalMat,Weight,d15N,relN,Area.All,d13C,relC,Area.All2,Area.All3,d34S_uncorr,d34S,relS,ug.N,ug.C,ug.S,CNratio
PM10021121-S2,PM10021121,11,11M,11M-2,11/02/2010,15.58333333,-23.025,2,N,4.25,1.5,210,262.5,M,Juvenile,14,3,0.0448,12.073,1.091,7.899,-12.755,0.697,14.394,0.766,11.937,13.4623607,-2.1456711,6.752634941,21.36019953,0.35393324,3.69044573
PM11020526-S2,PM11020526,15,15F,15F-2,14/09/2011,1.13333333,-24.61666667,2,N,4.25,1.5,230,287.5,F,Juvenile,16,3,0.0469,12.474,-0.858,8.302,-13.786,0.101,14.687,0.707,13.237,14.9775682,-0.6097149,7.358219844,21.5820937,0.328419518,3.421902288
PM11023324-S2,PM11023324,18,18M,18M-2,07/10/2011,1.74166667,-23.80833333,2,N,4.25,1.5,231,288.75,M,Juvenile,17,3,0.044,12.138,1.699,7.188,-13.116,0.26,13.371,0.686,11.461,12.8488546,-3.2925542,6.455171855,19.75253719,0.321462881,3.569947825
PM11030568-S2,PM11030568,19,19M,19M-2,12/11/2011,12.875,-33.925,2,N,4.25,1.5,209,261.25,M,Juvenile,13,3,0.0535,12.034,0.936,9.754,-13.236,-0.335,17.33,0.972,12.622,14.2782642,-1.5710609,8.233791121,25.21422946,0.414040616,3.572667876
PM10011524-S2,PM10011524,01,01F,01F-2,08/02/2010,14.43333333,-26.475,2,N,4.25,1.5,246,307.5,F,Juvenile,18,6,0.054,12.653,1.939,10.171,-12.876,0.348,17.572,0.86,12.21,13.787531,-2.3665075,8.566751836,25.53189814,0.381360878,3.477072181
PM11030018-S2,PM11030018,03,03M,03M-2,07/10/2011,1.74166667,-23.80833333,2,N,4.25,1.5,253,316.25,M,Juvenile,25,3,0.0449,12.187,0.254,7.533,-12.469,-0.066,13.362,0.699,12.722,14.3566158,-0.4790832,6.801659189,21.38795014,0.335467918,3.668606115
PM11030030-S2,PM11030030,04,04M,04M-2,07/10/2011,1.74166667,-23.80833333,2,N,4.25,1.5,240,300,M,Juvenile,22,3,0.0519,12.089,-0.261,8.619,-12.755,0.085,15.518,0.734,12.103,13.6114017,-2.4836457,7.720985355,24.37409972,0.34656353,3.683007851
PM10021196-S2,PM10021196,12,12F,12F-2,11/02/2010,15.58333333,-23.025,2,N,4.25,1.5,185,231.25,F,Juvenile,13,1,0.0503,11.828,0.185,9.409,-13.31,0.095,16.509,0.873,12.061,13.6100571,-1.970925,7.958320026,24.13651877,0.385154062,3.538343747
PM11021125-S2,PM11021125,16,16M,16M-2,16/09/2011,0.35833333,-24.825,2,N,4.25,1.5,223,278.75,M,Juvenile,17,3,0.0451,12.049,1.177,7.375,-12.792,0.178,13.205,0.76,12.525,14.1194475,-1.2272334,6.667908237,21.17049861,0.354805985,3.704147414
PM11032422-S2,PM11032422,20,20F,20F-2,12/11/2011,12.875,-33.925,2,N,4.25,1.5,220,275,F,Juvenile,15,5,0.051,11.835,1.057,8.568,-12.799,0.253,15.117,0.761,12.719,14.3530041,-1.6047987,7.677812579,23.81869806,0.355123003,3.619322663
PM12031731-S2,PM12031731,23,23F,23F-2,19/10/2012,21.34166667,-23.24166667,2,N,4.25,1.5,223,278.75,F,Juvenile,17,4,0.0534,12.118,0.545,9.587,-12.822,1.299,16.452,0.785,12.744,14.3866584,2.1513144,8.399886511,24.03586821,0.354258456,3.338360132
PM10021294-S3,PM10021294,02,02F,02F-3,08/12/2010,17.31666667,-21.85,3,N,6,1,249,311.25,F,Juvenile,17,6,0.0467,12.107,-0.518,9.386,-12.794,0.323,16.162,0.692,11.918,13.4397298,-2.6408708,7.939955286,23.68101864,0.33234127,3.479598321
PM11032886-S2,PM11032886,05,05F,05F-2,12/11/2011,12.875,-33.925,2,N,4.25,1.5,237,296.25,F,Juvenile,22,4,0.0423,12.232,1.907,7.081,-12.618,0.455,12.584,0.568,11.817,13.2670863,-2.6406027,6.419029882,20.31038781,0.293938625,3.691438252
PM14021253-S3,PM14021253,06,06M,06M-3,13/09/2014,5.51666667,-25.99166667,3,N,6,1,228,285,M,Juvenile,21,3,0.0557,12.125,-0.73,11.001,-13.728,-0.35,19.517,1.048,12.965,14.6868115,-0.5604417,9.2294794,28.0850617,0.436216153,3.550135809
PM11022567-S2,PM11022567,17,17M,17M-2,07/10/2011,1.74166667,-23.80833333,2,N,4.25,1.5,223,278.75,M,Juvenile,22,3,0.0559,11.732,0.09,9.757,-13.165,-0.22,16.527,0.818,12.986,14.6744454,-1.5807207,8.684330822,25.77160665,0.373193,3.462198187
PM10011524-S3,PM10011524,01,01F,01F-3,08/02/2010,14.43333333,-26.475,3,N,6,1,246,307.5,F,Juvenile,18,6,0.0496,12,1.286,9.969,-12.937,0.287,17.581,1,12.523,14.1603453,-1.9936932,8.405461514,25.54371226,0.422210551,3.545432644
PM10021294-S4,PM10021294,02,02F,02F-4,08/12/2010,17.31666667,-21.85,4,N,7.75,1.5,249,311.25,F,Juvenile,17,6,0.0509,11.779,-0.846,9.45,-12.973,0.144,16.828,0.864,13.986,15.8753196,-0.205281,8.288829442,24.55859864,0.380428661,3.456664009
PM11030018-S3,PM11030018,03,03M,03M-3,07/10/2011,1.74166667,-23.80833333,3,N,6,1,253,316.25,M,Juvenile,25,3,0.0498,12.22,0.287,9.981,-12.609,-0.206,17.326,0.85,12.738,14.4164318,-0.4192672,8.415043117,25.20897873,0.378443044,3.494988057
PM11030030-S3,PM11030030,04,04M,04M-3,07/10/2011,1.74166667,-23.80833333,3,N,6,1,240,300,M,Juvenile,22,3,0.058,12.014,-0.336,11.82,-13.06,-0.22,20.309,1.105,13.223,14.9941153,-1.1009321,9.883423826,29.12470465,0.452847806,3.437960638
PM14021253-S4,PM14021253,06,06M,06M-4,13/09/2014,5.51666667,-25.99166667,4,N,7.75,1.5,228,285,M,Juvenile,21,3,0.0485,11.62,-1.235,8.012,-13.777,-0.399,14.518,0.717,12.953,14.6347167,-0.6125365,7.207144671,22.98905817,0.341174233,3.721386082
PM10011567-S4,PM10011567,08,08M,08M-4,08/02/2010,14.43333333,-26.475,4,N,7.75,1.5,205,256.25,M,Juvenile,15,3,0.0498,11.768,0.355,8.311,-12.794,0.035,14.962,0.451,12.21,13.746606,-0.8139489,7.365515564,21.96440984,0.243614801,3.479070079
PM10021121-S4,PM10021121,11,11M,11M-4,11/02/2010,15.58333333,-23.025,4,N,7.75,1.5,210,262.5,M,Juvenile,14,3,0.055,11.541,0.559,10.291,-12.842,0.61,17.951,0.909,13.124,14.8421264,-0.7659054,8.97057393,26.11983873,0.395335741,3.397011766
PM11010051-S4,PM11010051,14,14M,14M-4,17/01/2011,5.55833333,-24.11666667,4,N,7.75,1.5,210,262.5,M,Juvenile,14,3,0.0492,11.716,0.557,8.821,-13.266,0.066,15.442,0.842,13.991,15.8813126,0.4518722,7.778939689,22.63172529,0.373140756,3.394251731
PM11020526-S4,PM11020526,15,15F,15F-4,14/09/2011,1.13333333,-24.61666667,4,N,7.75,1.5,230,287.5,F,Juvenile,16,3,0.0544,12.188,-1.144,10.045,-13.775,0.112,17.675,0.958,13.38,15.181118,-0.4061651,8.466145002,25.66710423,0.409955649,3.537023631
PM11023324-S4,PM11023324,18,18M,18M-4,07/10/2011,1.74166667,-23.80833333,4,N,7.75,1.5,231,288.75,M,Juvenile,17,3,0.0561,11.811,1.372,10.661,-12.762,0.614,18.61,0.866,13.183,14.9464713,-1.1949375,8.958000639,26.89446049,0.383111578,3.502664471
PM12022140-S4,PM12022140,22,22F,22F-4,15/09/2012,10.94166667,-30.76666667,4,N,7.75,1.5,230,287.5,F,Juvenile,16,4,0.0499,9.515,-0.84,8.377,-14.998,-1.046,14.751,0.81,13.533,15.3323538,-0.5010148,7.41901751,21.67106909,0.362540166,3.407852038
PM12033155-S4,PM12033155,24,24F,24F-4,22/10/2012,21.71666667,-23.24166667,4,N,7.75,1.5,223,278.75,F,Juvenile,15,5,0.0544,11.528,-0.909,9.824,-12.575,0.654,17.595,1.032,12.634,14.2925574,-1.5312224,8.289683807,25.56208979,0.431547619,3.597536261
PM10011524-S4,PM10011524,01,01F,01F-4,08/02/2010,14.43333333,-26.475,4,N,7.75,1.5,246,307.5,F,Subadult,18,6,0.054,11.47,0.756,9.721,-13.094,0.13,17.308,0.876,12.511,14.1460521,-2.0079864,8.207441712,25.18535049,0.386029412,3.580032601
PM11032886-S3,PM11032886,05,05F,05F-3,12/11/2011,12.875,-33.925,3,N,6,1,237,296.25,F,Subadult,22,4,0.0422,11.942,1.617,8.214,-13.31,-0.237,14.277,0.662,13.055,14.7940105,-1.1136785,7.004152028,21.20661591,0.323587768,3.532340788
AL09022380-S4,AL09022380,07,07F,07F-4,03/01/2010,-24.14166667,-24.10833333,4,N,7.75,1.5,235,293.75,F,Subadult,16,6,0.0472,10.948,-0.861,8.937,-14.401,-0.905,15.515,0.681,13.37,15.136982,-0.9600786,7.872973411,22.73321285,0.319806539,3.368750314
PM10022029-S4,PM10022029,13,13F,13F-4,04/12/2010,19.10833333,-21.66666667,4,N,7.75,1.5,210,262.5,F,Subadult,14,2,0.0559,11.371,1.337,10.527,-13,0.427,18.053,0.977,14.19,16.119834,0.1941732,9.161883917,26.26164326,0.417861994,3.344135779
PM11030568-S4,PM11030568,19,19M,19M-4,12/11/2011,12.875,-33.925,4,N,7.75,1.5,209,261.25,M,Subadult,13,3,0.0446,10.876,-0.222,7.962,-13.19,-0.289,14.143,0.522,12.613,14.2675443,-1.5817808,6.802938358,21.03071672,0.282738095,3.606652726
